@RELATION riaa
@ATTRIBUTE ratio_0_9 NUMERIC
@ATTRIBUTE ratio_1_9 NUMERIC
@ATTRIBUTE ratio_2_9 NUMERIC
@ATTRIBUTE ratio_21_9 NUMERIC
@ATTRIBUTE ratio_22_9 NUMERIC
@ATTRIBUTE ratio_23_9 NUMERIC
@ATTRIBUTE ratio_4_0 NUMERIC
@ATTRIBUTE ratio_5_0 NUMERIC
@ATTRIBUTE ratio_6_0 NUMERIC
@ATTRIBUTE class {riaa_ok, riaa_ko}
@DATA
0.52598017, 0.73285788, 0.85052854, 0.74987286, 0.59995902, 0.43459678, 1.70846033, 1.72630191, 1.79120541, riaa_ok
0.63851279, 0.77776122, 0.83579904, 0.70355356, 0.57847059, 0.43244475, 1.38006663, 1.36556423, 1.40581453, riaa_ok
0.69764829, 0.88247949, 0.97363573, 0.54207379, 0.41501096, 0.27566171, 1.46948338, 1.47103763, 1.52065647, riaa_ok
0.65895277, 0.86481857, 0.96038300, 0.33108065, 0.23959352, 0.14970201, 1.56760609, 1.55418754, 1.56629837, riaa_ok
0.87996268, 1.14700305, 1.26488781, 0.50431520, 0.38091511, 0.24941605, 1.55004799, 1.60310674, 1.53981519, riaa_ok
0.62668431, 0.79889560, 0.89547735, 0.51072198, 0.39398265, 0.25974306, 1.53991592, 1.55801761, 1.59604752, riaa_ok
0.85406893, 1.04377115, 1.07646358, 0.63743198, 0.49265021, 0.32386041, 1.23505914, 1.16366017, 1.19891834, riaa_ok
0.45530820, 0.75642484, 0.95746428, 0.34341288, 0.20843035, 0.09154735, 2.43137312, 2.45530462, 2.41008949, riaa_ok
0.39889947, 0.63528848, 0.79604375, 0.24300951, 0.15062566, 0.06553864, 2.27696991, 2.38746071, 2.45070553, riaa_ok
0.28598994, 0.57099968, 0.82428592, 0.04489902, 0.01130825, 0.00142492, 3.52197719, 3.58490539, 3.70306826, riaa_ok
0.80485427, 1.00056827, 1.02669120, 0.75565505, 0.61331552, 0.42447415, 1.28678429, 1.21004856, 1.20168090, riaa_ok
0.39802879, 0.64668721, 0.85268456, 0.33158809, 0.21516205, 0.10402710, 2.56122923, 2.59815335, 2.57639146, riaa_ok
0.33914647, 0.51932967, 0.61426932, 0.36469781, 0.24888250, 0.13355274, 2.10479259, 2.08582258, 2.25261664, riaa_ok
0.74954027, 0.99725306, 1.16315317, 0.83044046, 0.67755812, 0.49027792, 1.65743601, 1.58403099, 1.55228794, riaa_ok
0.52425724, 0.63709134, 0.68724889, 0.59555715, 0.45391184, 0.30546433, 1.32699597, 1.31102347, 1.39727926, riaa_ok
0.51702356, 0.70767236, 0.82615829, 0.66602951, 0.55530959, 0.40117419, 1.71493924, 1.77616990, 1.89341640, riaa_ok
0.39265537, 0.55775732, 0.69333559, 0.40457028, 0.32274008, 0.22016206, 2.04972148, 2.20718217, 2.34823251, riaa_ok
0.71397358, 0.91648614, 1.01716006, 0.60700822, 0.47746807, 0.32898709, 1.54716682, 1.49348235, 1.48584616, riaa_ok
0.65827054, 0.87127465, 0.98663759, 0.89103609, 0.74866235, 0.56664050, 1.55986321, 1.55137622, 1.56307542, riaa_ok
0.51852387, 0.70064414, 0.81517047, 0.49081859, 0.38441637, 0.25823686, 1.75608718, 1.78757501, 1.82217550, riaa_ok
0.80338860, 1.08175123, 1.23531353, 0.72949314, 0.65423715, 0.50073618, 1.54581988, 1.47354984, 1.42329741, riaa_ok
0.62750530, 0.77602237, 0.82723266, 0.71965581, 0.59183294, 0.43961105, 1.37313044, 1.39072073, 1.40938604, riaa_ok
0.76646906, 0.97656882, 1.04504275, 0.60025716, 0.46670112, 0.31265041, 1.48007441, 1.49986076, 1.57559919, riaa_ok
0.83209151, 1.06065512, 1.10107839, 0.44606504, 0.31762359, 0.18188588, 1.29658103, 1.23635221, 1.25787866, riaa_ok
0.77436125, 1.00686860, 1.09417772, 0.53033483, 0.37752664, 0.22570907, 1.42826402, 1.40512156, 1.43762410, riaa_ok
0.89802927, 0.99680090, 0.99602240, 0.72814041, 0.55063713, 0.36808404, 1.11192775, 1.05342591, 1.02959752, riaa_ok
0.81218809, 0.96518135, 0.99361515, 0.81703120, 0.69008070, 0.52243131, 1.24842477, 1.20324790, 1.21355200, riaa_ok
0.05769188, 0.21637167, 0.41873154, 0.29243818, 0.18185766, 0.08649870, 10.26987362, 12.28676796, 14.20923805, riaa_ok
0.67895162, 0.83868146, 0.90475345, 0.80055285, 0.67034352, 0.50414026, 1.39771616, 1.37715805, 1.43501675, riaa_ok
0.67894125, 0.82104099, 0.86121958, 0.67066741, 0.53955698, 0.38802373, 1.32841980, 1.30236089, 1.29248953, riaa_ok
0.75757235, 0.94185930, 1.03087974, 0.88547605, 0.75036883, 0.57657355, 1.43738580, 1.39921129, 1.39834630, riaa_ok
0.66630918, 0.83951849, 0.93305677, 0.59754789, 0.48711026, 0.35230872, 1.54112494, 1.55680120, 1.60010648, riaa_ok
0.71479005, 0.84664810, 0.82296741, 0.46751931, 0.35455436, 0.22472984, 1.07830536, 0.98594487, 1.00089991, riaa_ok
0.80322647, 0.95944721, 1.00596118, 0.74538618, 0.58809882, 0.40855822, 1.31408823, 1.34944570, 1.40507638, riaa_ok
0.57897705, 0.80410320, 0.93956226, 0.55674899, 0.39217263, 0.23673522, 1.82477987, 1.91537523, 1.99155962, riaa_ok
0.47022316, 0.62799084, 0.76615447, 0.73995107, 0.60920668, 0.45000550, 1.93148410, 2.13625455, 2.22811151, riaa_ok
0.26770186, 0.71833724, 1.11838806, 0.11214966, 0.04289205, 0.00987591, 5.09760857, 5.13515949, 5.11254930, riaa_ok
0.60219783, 0.80882657, 0.92490131, 0.62051374, 0.51731890, 0.38668481, 1.61397409, 1.60251451, 1.62559390, riaa_ok
0.61266744, 0.73673040, 0.75418282, 0.73261952, 0.60415334, 0.44878089, 1.24957824, 1.26434803, 1.34691989, riaa_ok
0.63387781, 0.80675036, 0.89773059, 0.69878680, 0.55611891, 0.39964485, 1.54686928, 1.62134755, 1.64504158, riaa_ok
0.45609394, 0.77714670, 1.03382266, 0.15228210, 0.08646774, 0.02857512, 2.59619594, 2.41508079, 2.27154469, riaa_ok
0.72536469, 0.88689846, 0.92053163, 0.78160739, 0.64582247, 0.48760787, 1.29764545, 1.28841698, 1.32382107, riaa_ok
0.62807584, 0.81182986, 0.90733325, 0.85932118, 0.72290951, 0.54692942, 1.52489781, 1.55073428, 1.59684241, riaa_ok
0.75107086, 0.96680474, 1.03241515, 0.77082199, 0.62087053, 0.45011878, 1.39855659, 1.39907706, 1.45095003, riaa_ok
0.64113289, 0.82117039, 0.90229505, 0.65647614, 0.53493482, 0.39477935, 1.50478399, 1.49523389, 1.54591537, riaa_ok
0.63004476, 0.97809923, 1.19912207, 0.32304987, 0.19768663, 0.09120861, 2.00786591, 2.00208664, 1.93279815, riaa_ok
0.76936591, 0.93919963, 1.02722692, 0.78639978, 0.63080674, 0.43865857, 1.41239405, 1.32469177, 1.30723584, riaa_ok
0.67777848, 0.86159855, 0.95086980, 0.63006824, 0.50755936, 0.36469874, 1.49319303, 1.53363860, 1.54725325, riaa_ok
0.44259825, 0.62562460, 0.76391375, 0.80046409, 0.68727565, 0.53445375, 1.99241483, 2.08953333, 2.19293118, riaa_ok
