@RELATION playback_speed
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE class {down_speed, up_speed}
@DATA
91.808850729735539, down_speed
105.92676265185705, down_speed
118.44737949803424, down_speed
119.54872941199244, down_speed
92.712892995297324, up_speed
107.25647362767685, up_speed
116.57134012265499, up_speed
119.22979272144897, up_speed
67.667361460071547, down_speed
74.579877489207249, down_speed
88.907170959275135, down_speed
94.827216237879881, down_speed
66.530456345443966, up_speed
76.458895538231317, up_speed
88.632552952442353, up_speed
94.319444279840468, up_speed
67.858917631377679, down_speed
84.303910486906474, down_speed
98.389790754102194, down_speed
105.55014240548834, down_speed
68.101017825426027, up_speed
84.396745107706309, up_speed
97.426258321718876, up_speed
101.82028677239774, up_speed
103.669435371473, down_speed
121.57211762956045, down_speed
140.77834890421155, down_speed
150.02169281302147, down_speed
104.18410074672266, up_speed
121.24845017121447, up_speed
137.75271487930445, up_speed
148.22776088282515, up_speed
95.749235085299105, down_speed
111.67666927201849, down_speed
128.8718471095014, down_speed
141.05753239998924, down_speed
95.159114652467011, up_speed
111.19456067131561, up_speed
126.7059880228876, up_speed
137.43823582917742, up_speed
87.24432723653355, down_speed
107.78288841864824, down_speed
121.76738692101537, down_speed
123.87281720306495, down_speed
87.037174558176574, up_speed
106.00874980445047, up_speed
123.68988486478244, up_speed
126.49039106152976, up_speed
168.29653036864445, down_speed
227.81351359839579, down_speed
282.16823032218662, down_speed
298.48441183837099, down_speed
166.62563543720924, up_speed
218.11569663236057, up_speed
278.47837355530379, up_speed
291.37583528290287, up_speed
224.10153756249684, down_speed
259.2183107048948, down_speed
287.6039512658968, down_speed
283.93164304467854, down_speed
226.62619877787469, up_speed
262.49593977943596, up_speed
283.85942403552599, up_speed
279.69577189325128, up_speed
80.658592100668102, down_speed
92.193825879143276, down_speed
110.38094969320451, down_speed
120.69941464519809, down_speed
80.881207611182745, up_speed
90.734510353853793, up_speed
111.17306439544777, up_speed
118.70591883983427, up_speed
125.22073848193517, down_speed
141.18951485149296, down_speed
149.2708493328403, down_speed
155.88850990468245, down_speed
126.62339229645467, up_speed
141.30531399921307, up_speed
148.24184143658979, up_speed
156.55471140049809, up_speed
27.220243188555571, down_speed
28.569688124178295, down_speed
30.88606212825837, down_speed
31.731305168670357, down_speed
27.37149166366429, up_speed
28.781982323112612, up_speed
31.047039933189218, up_speed
31.83785383601019, up_speed
51.120840473854038, down_speed
55.069265322392042, down_speed
58.070683155244993, down_speed
60.555434341183755, down_speed
50.938619471676525, up_speed
54.883407543392245, up_speed
57.924424896734045, up_speed
59.462048379348708, up_speed
117.0534018606044, down_speed
172.39207463434212, down_speed
200.8397252351335, down_speed
185.72948403960294, down_speed
116.28392794217106, up_speed
169.47830926098871, up_speed
196.08679130085079, up_speed
182.79701869927564, up_speed
68.9342076076273, down_speed
76.886305478784266, down_speed
84.557869229116093, down_speed
86.712912155200755, down_speed
68.813960498204892, up_speed
76.954059637865967, up_speed
85.66924871055825, up_speed
87.863332705204542, up_speed
86.471873311163151, down_speed
106.94263263196235, down_speed
133.31876227616493, down_speed
149.6109214708643, down_speed
87.031129954316469, up_speed
109.32304856383685, up_speed
138.17322113135873, up_speed
152.31377813345406, up_speed
30.29507036425149, down_speed
36.070800287438054, down_speed
43.085788516936567, down_speed
42.451345746185403, down_speed
31.068112814696477, up_speed
34.961000559785219, up_speed
42.783776539429105, up_speed
44.829333456588792, up_speed
107.91311191200825, down_speed
134.5806066519234, down_speed
157.04689796225537, down_speed
157.00525317145784, down_speed
108.64000348828758, up_speed
133.98507542286103, up_speed
154.90642713034424, up_speed
154.50673910097782, up_speed
192.38287373268102, down_speed
224.17998334273551, down_speed
240.54895468900119, down_speed
243.43858594184553, down_speed
192.78342385893887, up_speed
226.73063022650561, up_speed
241.86213032250265, up_speed
241.79363974166918, up_speed
82.210238756099571, down_speed
94.525949916407512, down_speed
114.03046360447955, down_speed
116.65939291549732, down_speed
82.433734338260393, up_speed
94.727832831225342, up_speed
113.74544537491784, up_speed
117.12604095557747, up_speed
101.67798093530352, down_speed
113.41173649760125, down_speed
120.75184493080312, down_speed
121.99740951192418, down_speed
101.67677445396251, up_speed
113.95520409642685, up_speed
122.37221559197386, up_speed
124.24550636069289, up_speed
97.990345581449731, down_speed
123.16780860678664, down_speed
136.73834208763148, down_speed
141.56285870499596, down_speed
98.01765901139639, up_speed
124.89352407115949, up_speed
134.98234844516395, up_speed
140.49644089979648, up_speed
118.6883649610007, down_speed
139.42766153773829, down_speed
151.46265685442583, down_speed
155.56464911896049, down_speed
118.63927911554725, up_speed
139.86039274641612, up_speed
151.02861714285939, up_speed
154.718173820224, up_speed
118.65633844171913, down_speed
134.465785251852, down_speed
154.61767029993743, down_speed
167.08632736452961, down_speed
115.79151763422203, up_speed
135.43595896106709, up_speed
151.42128677121258, up_speed
158.63748208450269, up_speed
96.1934867784815, down_speed
107.23964871403469, down_speed
121.99252097120562, down_speed
122.9915217427374, down_speed
96.79863425443088, up_speed
107.73048479888817, up_speed
121.06881664485994, up_speed
124.54557113894367, up_speed
104.96130430351184, down_speed
119.23126521928411, down_speed
127.08890728502983, down_speed
132.95126505731378, down_speed
106.06795198014639, up_speed
120.56324718685212, up_speed
125.91612949803424, up_speed
130.83751271071944, up_speed
49.741386981457957, down_speed
56.831928487734501, down_speed
65.151238500107453, down_speed
68.567292000483548, down_speed
49.690185299969031, up_speed
56.520781828747602, up_speed
65.463111309557675, up_speed
68.967359820615897, up_speed
142.81857393628957, down_speed
182.00869257164618, down_speed
212.86900932040416, down_speed
210.57900121991304, down_speed
141.41882600753439, up_speed
183.5557299370133, up_speed
213.2799905820186, up_speed
